"words","response_mean","response_sd","submission_id","response","valence_warriner","condition","itemname","se","ci_low","ci_high"
"abomination",1.28947368421053,0.611064411911689,490,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,491,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,492,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,493,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,494,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,495,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,497,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,498,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,499,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,502,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,505,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,506,2,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,515,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,517,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,519,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,520,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,521,2,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,524,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,527,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,528,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
"abomination",1.28947368421053,0.611064411911689,496,1,2.5,"exclamative","item_1",0.0987000975114017,1.09602149308818,1.48292587533287
